timestamp (ISO),user_id,condition,diameter,amount,completion_time (ms),start_pointer_x,start_pointer_y,end_pointer_x,end_pointer_y,error,improvement
2021-05-07T12:25:00,1,2,125,20,1547,1024,638,1549,281,True,False
2021-05-07T12:25:02,1,3,50,20,2291,1549,281,1571,318,True,False
2021-05-07T12:25:05,1,3,50,20,2868,1571,318,945,228,False,False
2021-05-07T12:25:06,1,1,50,20,1116,945,228,1012,298,True,False
2021-05-07T12:25:08,1,2,125,20,1543,1012,298,1601,395,True,False
2021-05-07T12:25:09,1,3,100,20,1275,1601,395,1517,201,True,False
2021-05-07T12:25:11,1,2,75,20,1412,1517,201,1368,571,True,False
2021-05-07T12:25:12,1,1,50,20,1017,1368,571,1132,751,True,False
2021-05-07T12:25:13,1,1,100,20,1160,1132,751,575,645,True,False
2021-05-07T12:25:14,1,2,100,20,1313,575,645,1112,69,True,False
2021-05-07T12:25:16,1,3,50,20,1978,1112,69,432,459,True,False
2021-05-07T12:25:17,1,3,75,20,1321,432,459,922,572,False,False
2021-05-07T12:25:19,1,1,50,20,1442,922,572,1409,533,True,False
2021-05-07T12:25:21,1,1,50,20,1614,1409,533,1089,569,True,False
2021-05-07T12:25:22,1,2,50,20,1484,1089,569,834,78,True,False
