timestamp (ISO),user_id,condition,diameter,amount,completion_time (ms),start_pointer_x,start_pointer_y,end_pointer_x,end_pointer_y,error,improvement
2021-05-07T12:47:24,2,3,100,20,1215,845,550,710,566,True,False
2021-05-07T12:47:25,2,2,75,20,1178,710,566,1114,557,True,False
2021-05-07T12:47:26,2,2,125,20,1086,1114,557,1570,261,True,False
2021-05-07T12:47:28,2,1,50,20,1927,1570,261,1578,744,True,False
2021-05-07T12:47:29,2,1,100,20,1516,1578,744,257,633,True,False
2021-05-07T12:47:31,2,3,75,20,1230,257,633,91,402,True,False
2021-05-07T12:47:31,2,1,100,20,894,91,402,1603,321,True,False
2021-05-07T12:47:33,2,3,100,20,1112,1603,321,1158,123,True,False
2021-05-07T12:47:34,2,2,75,20,1253,1158,123,566,370,True,False
2021-05-07T12:47:35,2,1,75,20,975,566,370,702,528,True,False
2021-05-07T12:47:36,2,3,125,20,1601,702,528,1215,62,True,False
2021-05-07T12:47:38,2,2,100,20,1434,1215,62,794,593,True,False
2021-05-07T12:47:39,2,1,125,20,1182,794,593,1641,196,True,False
2021-05-07T12:47:40,2,2,50,20,1247,1641,196,1116,462,True,False
2021-05-07T12:47:41,2,3,125,20,770,1116,462,1310,408,True,False
