timestamp (ISO),user_id,condition,diameter,amount,completion_time (ms),start_pointer_x,start_pointer_y,end_pointer_x,end_pointer_y,error,improvement
2021-05-07T12:26:49,2,3,75,20,1182,975,436,102,302,True,True
2021-05-07T12:26:50,2,3,50,20,1283,102,302,415,655,True,True
2021-05-07T12:26:52,2,3,50,20,2126,415,655,1375,155,True,True
2021-05-07T12:26:53,2,3,50,20,1187,1375,155,1555,595,True,True
2021-05-07T12:26:54,2,2,50,20,963,1555,595,1015,395,True,True
2021-05-07T12:26:55,2,1,100,20,1082,1015,395,630,490,True,True
2021-05-07T12:26:57,2,2,50,20,1495,630,490,1115,715,True,True
2021-05-07T12:26:58,2,1,125,20,1237,1115,715,1017,377,True,True
2021-05-07T12:26:59,2,1,75,20,1088,1017,377,1482,222,True,True
2021-05-07T12:27:00,2,3,125,20,1001,1482,222,357,337,True,True
2021-05-07T12:27:01,2,2,100,20,925,357,337,1510,110,True,True
2021-05-07T12:27:02,2,1,125,20,1234,1510,110,117,497,True,True
2021-05-07T12:27:03,2,1,100,20,892,117,497,570,310,True,True
2021-05-07T12:27:04,2,2,125,20,818,570,310,777,217,True,True
2021-05-07T12:27:05,2,2,100,20,1326,777,217,90,270,True,True
