timestamp (ISO),user_id,condition,diameter,amount,completion_time (ms),start_pointer_x,start_pointer_y,end_pointer_x,end_pointer_y,error,improvement
2021-05-07T12:46:41,1,1,125,20,860,1175,453,1057,637,True,True
2021-05-07T12:46:42,1,3,50,20,1657,1057,637,295,235,True,True
2021-05-07T12:46:43,1,2,75,20,1030,295,235,1742,242,True,True
2021-05-07T12:46:45,1,2,125,20,1389,1742,242,137,217,True,True
2021-05-07T12:46:46,1,1,125,20,885,137,217,1357,497,True,True
2021-05-07T12:46:47,1,1,100,20,1269,1357,497,1010,590,True,True
2021-05-07T12:46:48,1,3,125,20,837,1010,590,497,197,True,True
2021-05-07T12:46:49,1,3,100,20,1090,497,197,1710,350,True,True
2021-05-07T12:46:50,1,1,100,20,1587,1710,350,730,670,True,True
2021-05-07T12:46:52,1,2,125,20,1445,730,670,237,577,True,True
2021-05-07T12:46:53,1,1,125,20,856,237,577,1297,637,True,True
2021-05-07T12:46:54,1,2,100,20,1456,1297,637,530,730,True,True
2021-05-07T12:46:55,1,3,75,20,1084,530,730,282,462,True,True
2021-05-07T12:46:56,1,2,100,20,1220,282,462,1690,150,True,True
2021-05-07T12:46:58,1,3,75,20,1271,1690,150,1022,62,True,True
