timestamp (ISO),user_id,condition,diameter,amount,completion_time (ms),start_pointer_x,start_pointer_y,end_pointer_x,end_pointer_y,error,improvement
2021-05-07T12:27:35,4,1,100,20,1348,888,422,730,210,True,True
2021-05-07T12:27:36,4,2,50,20,1428,730,210,895,475,True,True
2021-05-07T12:27:37,4,3,125,20,1425,895,475,1257,317,True,True
2021-05-07T12:27:38,4,1,100,20,958,1257,317,990,410,True,True
2021-05-07T12:27:40,4,1,50,20,1212,990,410,13,477,False,True
2021-05-07T12:27:41,4,3,125,20,1296,13,477,137,437,True,True
2021-05-07T12:27:42,4,3,125,20,912,137,437,317,397,True,True
2021-05-07T12:27:43,4,3,75,20,1397,317,397,1702,102,True,True
2021-05-07T12:27:45,4,2,75,20,2165,1702,102,502,622,True,True
2021-05-07T12:27:47,4,3,100,20,1399,502,622,1410,170,True,True
2021-05-07T12:27:48,4,2,50,20,845,1410,170,1295,315,True,True
2021-05-07T12:27:49,4,2,100,20,862,1295,315,630,310,True,True
2021-05-07T12:27:50,4,1,125,20,1019,630,310,957,77,True,True
2021-05-07T12:27:51,4,1,75,20,981,957,77,1742,122,True,True
2021-05-07T12:27:53,4,2,75,20,1959,1742,122,162,522,True,True
